Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
CFAP69		7q21.13	AMP	12	571	2.1%	No
CROCCP3		1p36.13	AMP	3	571	0.5%	No
RN7SL717P		2q33.1	AMP	14	571	2.5%	No
KLK4		19q13.41	AMP	6	571	1.1%	No
HBS1L		6q23.3	AMP	3	571	0.5%	No
SNORD115-31		15q11.2	AMP	2	571	0.4%	No
LINC01686		1q25.3	AMP	16	571	2.8%	No
RN7SKP131		22q11.21	AMP	4	571	0.7%	No
RNA5SP243		7q32.1	AMP	14	571	2.5%	No
ARL2BPP2		12q13.13	AMP	2	571	0.4%	No
CBX3P9		6q22.1	AMP	5	571	0.9%	No
LRRTM4-AS1		2p12	AMP	19	571	3.3%	No
PPP4C		16p11.2	AMP	2	571	0.4%	No
KLK5		19q13.41	AMP	6	571	1.1%	No
FAM83E		19q13.33	AMP	6	571	1.1%	No
RNU4-85P		3p24.3	AMP	4	571	0.7%	No
RAD51AP1P1		3q22.3	AMP	29	571	5.1%	No
MT1HL1		1q43	AMP	27	571	4.7%	No
ENPP7P2		3p12.3	HOMDEL	6	571	1.1%	No
MAGEL2		15q11.2	AMP	1	571	0.2%	No
SEPHS2P1		5p15.2	AMP	42	571	7.4%	No
ZNF578		19q13.41	AMP	9	571	1.6%	No
SNORD115-32		15q11.2	AMP	2	571	0.4%	No
HNRNPA1P58		6p22.3	AMP	24	571	4.2%	No
ARL2BPP3		13q13.3	AMP	3	571	0.5%	No
HSPD1P10		6q14.3-q15	AMP	14	571	2.5%	No
GGTA2P		12q14.3	AMP	15	571	2.6%	No
CROCCP2		1p36.13	AMP	3	571	0.5%	No
ETV7-AS1		6p21.31	AMP	20	571	3.5%	No
PDXP		22q13.1	AMP	8	571	1.4%	No
HSP90AB2P		4p15.33	AMP	4	571	0.7%	No
LINC01687		21q21.1	AMP	13	571	2.3%	No
DLX2-DT		2q31.1	AMP	16	571	2.8%	No
RNA5SP242		7q32.1	AMP	14	571	2.5%	No
HNRNPK-AS1		9q21.32	AMP	2	571	0.4%	No
ENPP7P1		8p23.1	HOMDEL	3	571	0.5%	No
CROCCP5		1p36.12	AMP	6	571	1.1%	No
RNU6-949P		1p35.3	AMP	3	571	0.5%	No
N4BP2L1		13q13.1	HOMDEL	1	571	0.2%	No
RFPL2		22q12.3	AMP	7	571	1.2%	No
CRTC1		19p13.11	AMP	41	571	7.2%	Yes
KLK6		19q13.41	AMP	6	571	1.1%	No
LINC02129		16p12.1	AMP	2	571	0.4%	No
FANCE		6p21.31	AMP	17	571	3.0%	Yes
CAAP1		9p21.2	AMP	7	571	1.2%	No
ATXN1L		16q22.2	AMP	1	571	0.2%	No
RN7SL72P		7q36.1	AMP	25	571	4.4%	No
ZNF577		19q13.41	AMP	9	571	1.6%	No
HNRNPA1P54		1q25.2	AMP	16	571	2.8%	No
RNU7-156P		5q31.3	AMP	1	571	0.2%	No
VCPKMT		14q21.3	AMP	5	571	0.9%	No
RN7SKP136		4q34.3	AMP	3	571	0.5%	No
SELPLG		12q24.11	AMP	2	571	0.4%	No
PSMB11		14q11.2	AMP	11	571	1.9%	No
DCTN1-AS1		2p13.1	AMP	15	571	2.6%	No
ELOCP29		19p13.2	AMP	23	571	4.0%	No
CBX3P4		12p13.33	AMP	50	571	8.8%	No
MTMR6		13q12.13	AMP	3	571	0.5%	No
FTH1P3		2p23.3	AMP	13	571	2.3%	No
CTNNBIP1		1p36.22	AMP	7	571	1.2%	No
TMEM45B		11q24.3	AMP	14	571	2.5%	No
SNORD115-36		15q11.2	AMP	2	571	0.4%	No
NOTCH4		6p21.32	AMP	15	571	2.6%	Yes
CRTC2		1q21.3	AMP	24	571	4.2%	No
POM121L9P		22q11.23	AMP	3	571	0.5%	No
IGLV11-55		22q11.22	HOMDEL	1	571	0.2%	No
CROCCP4		1p36.13	AMP	3	571	0.5%	No
ELF1		13q14.11	AMP	4	571	0.7%	No
SNORD115-37		15q11.2	AMP	2	571	0.4%	No
ZNF576		19q13.31	AMP	19	571	3.3%	No
MRGPRX4		11p15.1	AMP	1	571	0.2%	No
FANCF		11p14.3	AMP	3	571	0.5%	Yes
RNA5SP244		7q32.2	AMP	19	571	3.3%	No
PAIP1P2		17p11.2	HOMDEL	1	571	0.2%	No
LRRC10		12q15	AMP	25	571	4.4%	No
ARL2BPP1		18q23	AMP	2	571	0.4%	No
RFPL3		22q12.3	AMP	6	571	1.1%	No
HSPD1P12		12p13.31	AMP	43	571	7.5%	No
MTMR7		8p22	AMP	3	571	0.5%	No
FTH1P4		3q21.3	AMP	19	571	3.3%	No
IGSF23		19q13.31	AMP	18	571	3.2%	No
RN7SKP137		4q27	AMP	1	571	0.2%	No
VWC2L-IT1		2q35	AMP	8	571	1.4%	No
TMEM45A		3q12.2	AMP	19	571	3.3%	No
RNU6-1073P		9p24.3	AMP	9	571	1.6%	No
RNU6-329P		9q31.1	AMP	2	571	0.4%	No
WDR5B		3q21.1	AMP	22	571	3.9%	No
IGKV2D-30		2p11.2	AMP	31	571	5.4%	No
RNA5SP246		7q32.2	AMP	18	571	3.2%	No
CRTC3		15q26.1	AMP	7	571	1.2%	Yes
RN7SKP134		12p13.1	AMP	44	571	7.7%	No
RNU6-190P		6p22.3	AMP	33	571	5.8%	No
LINC02127		16q12.1	AMP	1	571	0.2%	No
AZIN2		1p35.1	AMP	12	571	2.1%	No
KTN1-AS1		14q22.3	AMP	1	571	0.2%	No
ELF3		1q32.1	AMP	20	571	3.5%	Yes
NOTCH2		1p12	AMP	16	571	2.8%	Yes
C19ORF84		19q13.41	AMP	9	571	1.6%	No
RNA5SP247		7q34	HOMDEL	1	571	0.2%	No
FANCG		9p13.3	AMP	4	571	0.7%	Yes
CTDSPL		3p22.2	AMP	5	571	0.9%	No
ZNF575		19q13.31	AMP	18	571	3.2%	No
KLK7		19q13.41	AMP	6	571	1.1%	No
DNPEP		2q35	AMP	8	571	1.4%	No
FTH1P5		6p12.3	AMP	21	571	3.7%	No
ELOCP27		18p11.31	AMP	8	571	1.4%	No
FTH1P6		2p16.2	AMP	11	571	1.9%	No
ZNF729		19p12	AMP	48	571	8.4%	No
SPDYE22P		17q22	AMP	6	571	1.1%	No
HSPD1P13		11q22.3	AMP	8	571	1.4%	No
HNRNPA1P55		4q13.3	AMP	19	571	3.3%	No
AASS		7q31.32	AMP	17	571	3.0%	No
OSBPL3		7p15.3	AMP	14	571	2.5%	No
RNU6-639P		20q13.12	AMP	36	571	6.3%	No
CBX3P6		2q24.1	AMP	20	571	3.5%	No
RNA5SP245		7q32.2	AMP	19	571	3.3%	No
RFPL1		22q12.2	AMP	8	571	1.4%	No
LINC02128		16q12.1	AMP	1	571	0.2%	No
KLK8		19q13.41	AMP	7	571	1.2%	No
FAM83H		8q24.3	AMP	109	571	19.1%	No
ELF2		4q31.1	AMP	5	571	0.9%	No
RN7SKP135		8q12.3	AMP	30	571	5.3%	No
AZIN1		8q22.3	AMP	46	571	8.1%	No
ECE1-AS1		1p36.12	AMP	6	571	1.1%	No
IGSF21		1p36.13	AMP	2	571	0.4%	No
ELFN1-AS1		7p22.3	AMP	12	571	2.1%	No
NECAB3		20q11.22	AMP	38	571	6.7%	No
RNU2-42P		10q26.2	AMP	6	571	1.1%	No
RNU7-200P		1p36.12	AMP	3	571	0.5%	No
IGHV6-1		14q32.33	AMP	85	571	14.9%	No
C19ORF85		19q13.42	AMP	10	571	1.8%	No
RNA5SP248		7q34	HOMDEL	1	571	0.2%	No
RNU6-16P		11q14.3	AMP	14	571	2.5%	No
NOTCH3		19p13.12	AMP	72	571	12.6%	Yes
PHPT1		9q34.3	AMP	5	571	0.9%	No
PSMB10		16q22.1	AMP	1	571	0.2%	No
SNORD115-35		15q11.2	AMP	2	571	0.4%	No
CTXN1		19p13.2	AMP	18	571	3.2%	No
ZNF574		19q13.2	AMP	14	571	2.5%	No
HSPD1P14		1p35.1	AMP	10	571	1.8%	No
NECAB1		8q21.3	AMP	35	571	6.1%	No
ZNF728		19p12	AMP	43	571	7.5%	No
NPM1P31		10q26.13	AMP	9	571	1.6%	No
GLYATL1B		11q12.1	AMP	2	571	0.4%	No
GPRC5D		12p13.1	AMP	43	571	7.5%	No
PDXK		21q22.3	AMP	6	571	1.1%	No
SMARCC2		12q13.2	AMP	11	571	1.9%	No
TVP23BP1		15q12	AMP	1	571	0.2%	No
DAB2IP		9q33.2	AMP	2	571	0.4%	No
TM4SF20		2q36.3	AMP	8	571	1.4%	No
PSPN		19p13.3	AMP	4	571	0.7%	No
OR9I2P		11q12.1	AMP	1	571	0.2%	No
LONRF2P3		15q11.2	AMP	5	571	0.9%	No
IGKV2-24		2p11.2	AMP	53	571	9.3%	No
LINC01681		1q24.2	AMP	12	571	2.1%	No
RNU7-45P		2q33.1	AMP	16	571	2.8%	No
MRGPRX1		11p15.1	AMP	1	571	0.2%	No
ZNF573		19q13.12	AMP	53	571	9.3%	No
LONRF2P2		13q11	AMP	4	571	0.7%	No
SLC26A5-AS1		7q22.1	AMP	12	571	2.1%	No
LINC01682		1q42.13	AMP	24	571	4.2%	No
RBISP5		2p16.3	AMP	14	571	2.5%	No
FTH1P1		1p34.3	AMP	27	571	4.7%	No
RHOBTB2		8p21.3	HOMDEL	1	571	0.2%	No
ZNF727		7q11.21	AMP	11	571	1.9%	No
SERPINB9		6p25.2	AMP	20	571	3.5%	No
GOLGA8H		15q13.2	HOMDEL	1	571	0.2%	No
SMARCC1		3p21.31	AMP	4	571	0.7%	No
HSPD1P15		5p14.3	AMP	43	571	7.5%	No
NECAB2		16q23.3	AMP	1	571	0.2%	No
NPM1P32		2q14.3	AMP	8	571	1.4%	No
CTXN3		5q23.2	AMP	1	571	0.2%	No
CFAP65		2q35	AMP	8	571	1.4%	No
KIAA1328P1		3q25.2	AMP	40	571	7.0%	No
LINC01836		19p13.3	AMP	1	571	0.2%	No
TVP23BP2		2p13.1	AMP	15	571	2.6%	No
RNU6-175P		2q21.2	AMP	5	571	0.9%	No
COG1		17q25.1	AMP	3	571	0.5%	No
LINC01128		1p36.33	HOMDEL	1	571	0.2%	No
ZNF572		8q24.13	AMP	112	571	19.6%	No
EXTL3		8p21.1	HOMDEL	1	571	0.2%	No
GPRC5B		16p12.3	AMP	6	571	1.1%	No
UTP14C		13q14.3	AMP	6	571	1.1%	No
CIDEC		3p25.3	AMP	7	571	1.2%	No
RNU6-795P		10p11.1	AMP	22	571	3.9%	No
FTH1P2		1q42.13	AMP	23	571	4.0%	No
SERPINB8		18q22.1	AMP	2	571	0.4%	No
ETFDH		4q32.1	HOMDEL	1	571	0.2%	No
VPS11-DT		11q23.3	AMP	7	571	1.2%	No
TGFB3		14q24.3	AMP	3	571	0.5%	No
IGKV2-26		2p11.2	AMP	52	571	9.1%	No
ZNF726		19p12	AMP	42	571	7.4%	No
VPS72		1q21.3	AMP	44	571	7.7%	No
LONRF2P5		21q11.2	AMP	19	571	3.3%	No
HSPD1P16		6q25.2	AMP	3	571	0.5%	No
MRPS2		9q34.3	AMP	5	571	0.9%	No
SERPINB7		18q21.33	AMP	2	571	0.4%	No
CA3-AS1		8q21.2	AMP	33	571	5.8%	No
NPM1P30		10p12.31	AMP	20	571	3.5%	No
CEP126		11q22.1	AMP	11	571	1.9%	No
COG2		1q42.2	AMP	24	571	4.2%	No
CEP89		19q13.11	AMP	44	571	7.7%	No
NDUFB5P1		4q34.3	HOMDEL	1	571	0.2%	No
ELOCP23		13q22.3	AMP	6	571	1.1%	No
GPRC5C		17q25.1	AMP	6	571	1.1%	No
ZNF56P		19p13.1	AMP	43	571	7.5%	No
ZNF571		19q13.12	AMP	54	571	9.5%	No
MRGPRX3		11p15.1	AMP	1	571	0.2%	No
CIDEB		14q12	AMP	6	571	1.1%	No
CCHCR1		6p21.33	AMP	16	571	2.8%	No
LINC01834		19q12	AMP	72	571	12.6%	No
IRX4-AS1		5p15.33	AMP	39	571	6.8%	No
RN7SL563P		8q22.3	AMP	43	571	7.5%	No
RBISP6		3p24.3	AMP	2	571	0.4%	No
TGFB2		1q41	AMP	22	571	3.9%	No
LINC01680		1q31.2	AMP	22	571	3.9%	No
DHRS4-AS1		14q11.2	AMP	7	571	1.2%	No
GM2AP1		3q24	AMP	44	571	7.7%	No
LONRF2P4		15q11.2	AMP	5	571	0.9%	No
HIP1		7q11.23	AMP	7	571	1.2%	Yes
CALR3		19p13.11	AMP	50	571	8.8%	No
LINC01839		3q27.1	AMP	75	571	13.1%	No
TGFB1		19q13.2	AMP	14	571	2.5%	No
LINC02122		5q13.3	AMP	1	571	0.2%	No
SNORD121A		9p13.3	AMP	6	571	1.1%	No
MRPS7		17q25.1	AMP	8	571	1.4%	No
IGKV2-28		2p11.2	AMP	46	571	8.1%	No
ELOCP22		11q23.3	AMP	8	571	1.4%	No
CITED4		1p34.2	AMP	35	571	6.1%	No
ZNF570		19q13.12	AMP	54	571	9.5%	No
LILRA1		19q13.42	AMP	11	571	1.9%	No
RASAL2-AS1		1q25.2	AMP	14	571	2.5%	No
VTCN1		1p13.1-p12	AMP	12	571	2.1%	Yes
GM2AP2		1q24.3	AMP	14	571	2.5%	No
ZSCAN12P1		6p22.1	AMP	20	571	3.5%	No
ZNF724		19p12	AMP	42	571	7.4%	No
RBISP2		5p13.2	AMP	31	571	5.4%	No
HSPD1P18		5q31.1	AMP	1	571	0.2%	No
TRANK1		3p22.2	AMP	5	571	0.9%	No
RNU6-31P		2q33.1	AMP	15	571	2.6%	No
LNCTSI		21q22.13	AMP	6	571	1.1%	No
SNORD121B		9p13.3	AMP	6	571	1.1%	No
ACTL10		20q11.22	AMP	38	571	6.7%	No
LINC02123		5p15.31	AMP	34	571	6.0%	No
CFAP68		11q23.1	AMP	4	571	0.7%	No
MRPS6		21q22.11	AMP	6	571	1.1%	No
CEP128		14q31.1	AMP	2	571	0.4%	No
MIR3976HG		18p11.31	AMP	12	571	2.1%	No
RN7SL253P		4q34.1	AMP	3	571	0.5%	No
LSAMP-AS1		3q13.31	AMP	29	571	5.1%	No
LINC01685		1p34.3	AMP	33	571	5.8%	No
LILRA2		19q13.42	AMP	11	571	1.9%	No
SNORD115-30		15q11.2	AMP	2	571	0.4%	No
RNU7-60P		12p13.2	AMP	46	571	8.1%	No
RBISP1		10p13	AMP	21	571	3.7%	No
ZNF723		19p12	AMP	43	571	7.5%	No
ELOCP21		2p13.3	AMP	12	571	2.1%	No
MRPS5		2q11.1	AMP	19	571	3.3%	No
UCKL1		20q13.33	AMP	63	571	11.0%	No
LINC01683		21q21.1	AMP	16	571	2.8%	No
MEST		7q32.2	AMP	18	571	3.2%	No
ENPP7P6		8p23.1	HOMDEL	1	571	0.2%	No
RBISP4		6q21	AMP	6	571	1.1%	No
PRAMEF30P		1p36.21	AMP	3	571	0.5%	No
LONRF2P1		18p11.21	AMP	10	571	1.8%	No
FAM83B		6p12.1	AMP	17	571	3.0%	No
MATCAP2		7p14.2	AMP	10	571	1.8%	No
RBPMSLP		21q21.1	AMP	22	571	3.9%	No
LINC02120		5p13.3	AMP	32	571	5.6%	No
BORCS8P1		12p12.3	HOMDEL	1	571	0.2%	No
MRPS11P1		20p11.23	AMP	23	571	4.0%	No
ELOCP20		1p13.1	AMP	11	571	1.9%	No
HMGN3		6q14.1	AMP	11	571	1.9%	No
LINC01837		19q12-q13.11	AMP	50	571	8.8%	No
IGKV2-29		2p11.2	AMP	46	571	8.1%	No
LINC01838		19q13.11	AMP	45	571	7.9%	No
ZNF722		7q11.21	AMP	12	571	2.1%	No
PARD6G-AS1		18q23	AMP	1	571	0.2%	No
CSN1S2AP		4q13.3	AMP	16	571	2.8%	No
RBISP3		12q24.11	AMP	3	571	0.5%	No
RNU7-171P		9q34.11	AMP	1	571	0.2%	No
LINC01684		21q21.2	AMP	10	571	1.8%	No
MIR3945HG		4q35.1	AMP	2	571	0.4%	No
RN7SL57P		9q32	AMP	2	571	0.4%	No
HACD4		9p21.3	HOMDEL	4	571	0.7%	No
LINC02121		5p15.32	AMP	36	571	6.3%	No
RNU6-485P		12p13.31	AMP	44	571	7.7%	No
RNU6-1102P		1p31.1	AMP	9	571	1.6%	No
HMGN4		6p22.2	AMP	22	571	3.9%	No
DUS1L		17q25.3	AMP	14	571	2.5%	No
FANCA		16q24.3	AMP	2	571	0.4%	Yes
ITGB1BP1		2p25.1	AMP	10	571	1.8%	No
TOX		8q12.1	AMP	34	571	6.0%	No
KLK1		19q13.33	AMP	5	571	0.9%	No
FAM83A		8q24.13	AMP	102	571	17.9%	No
LILRA5		19q13.42	AMP	12	571	2.1%	No
INA		10q24.33	AMP	1	571	0.2%	No
CYP4F44P		8p11.1	AMP	21	571	3.7%	No
ZNHIT3		17q12	AMP	1	571	0.2%	No
SLC25A48-AS1		5q31.1	HOMDEL	1	571	0.2%	No
AADACL2-AS1		3q25.1	AMP	45	571	7.9%	No
LINC02523		6q22.31	HOMDEL	3	571	0.5%	No
OR5K2		3q11.2	AMP	22	571	3.9%	No
HTR6		1p36.13	AMP	4	571	0.7%	No
ATP6V1E1		22q11.21	AMP	6	571	1.1%	No
COG6		13q14.11	AMP	3	571	0.5%	No
DUXAP9		14q11.2	HOMDEL	1	571	0.2%	No
RSC1A1		1p36.21	AMP	4	571	0.7%	No
RNU6-204P		4p16.3	AMP	13	571	2.3%	No
MIF4GD		17q25.1	AMP	8	571	1.4%	No
ZNHIT2		11q13.1	AMP	6	571	1.1%	No
IGKV2OR2-8		2q11.2	AMP	17	571	3.0%	No
SERPINB2		18q21.33-q22.1	AMP	2	571	0.4%	No
LILRA6		19q13.42	AMP	11	571	1.9%	No
FSD1L		9q31.2	AMP	1	571	0.2%	No
HMGN2		1p36.11	AMP	3	571	0.5%	No
COG7		16p12.2	AMP	3	571	0.5%	No
OR5K1		3q11.2	AMP	22	571	3.9%	No
ATP6V1E2		2p21	AMP	15	571	2.6%	No
VAV3-AS1		1p13.3	AMP	10	571	1.8%	No
COG8		16q22.1	AMP	2	571	0.4%	No
SERPINB1		6p25.2	AMP	20	571	3.5%	No
HTR4		5q32	AMP	3	571	0.5%	No
TINCR		19p13.3	AMP	3	571	0.5%	No
WDR64		1q43	AMP	29	571	5.1%	No
IGKV2OR2-7		2q11.2	AMP	17	571	3.0%	No
MDK		11p11.2	AMP	5	571	0.9%	No
FAM90A6P		8p23.1	HOMDEL	4	571	0.7%	No
BTF3L4P1		21q21.1	HOMDEL	5	571	0.9%	No
PRSS45P		3p21.31	AMP	4	571	0.7%	No
MTND2P22		2q21.1	AMP	6	571	1.1%	No
RNU6-824P		6q25.2	AMP	3	571	0.5%	No
HMGN1		21q22.2	AMP	7	571	1.2%	No
LAT2		7q11.23	AMP	6	571	1.1%	No
LILRA4		19q13.42	AMP	13	571	2.3%	No
ENAH		1q42.12	AMP	23	571	4.0%	No
FAM118B		11q24.2	AMP	7	571	1.2%	No
MCMDC2		8q13.1	AMP	35	571	6.1%	No
RPS3AP15		3p12.3	HOMDEL	5	571	0.9%	No
RMDN2-AS1		2p22.2	AMP	11	571	1.9%	No
MUC12-AS1		7q22.1	AMP	13	571	2.3%	No
MTND2P23		2q34	AMP	11	571	1.9%	No
LINC00437		13q13.3	AMP	3	571	0.5%	No
PTCD2P2		10q23.31	AMP	1	571	0.2%	No
RSPH10B		7p22.1	AMP	7	571	1.2%	No
IFNA22P		9p21.3	AMP	8	571	1.4%	No
COG3		13q14.13	AMP	5	571	0.9%	No
CHCT1		17q23.2	HOMDEL	1	571	0.2%	No
TACSTD2		1p32.1	AMP	6	571	1.1%	Yes
TRBV11-3		7q34	AMP	26	571	4.6%	No
POLR2KP2		13q14.2	HOMDEL	1	571	0.2%	No
PLEKHS1		10q25.3	AMP	5	571	0.9%	No
CDC14A		1p21.2	AMP	9	571	1.6%	No
WDR62		19q13.12	AMP	51	571	8.9%	No
NPM1P28		3q24	AMP	44	571	7.7%	No
ESR1		6q25.1-q25.2	AMP	6	571	1.1%	Yes
RN7SL776P		4q32.3	HOMDEL	1	571	0.2%	No
PDE9A-AS1		21q22.3	AMP	5	571	0.9%	No
SERPINB6		6p25.2	AMP	20	571	3.5%	No
ACAD9-DT		3q21.3	AMP	20	571	3.5%	No
TRBV11-2		7q34	AMP	26	571	4.6%	No
PLCH1		3q25.31	AMP	43	571	7.5%	No
GPRC5A		12p13.1	AMP	44	571	7.7%	No
PTCD2P1		14q11.2	AMP	32	571	5.6%	No
MARCOL		5q32	AMP	3	571	0.5%	No
COG4		16q22.1	AMP	2	571	0.4%	No
OR5K4		3q11.2	AMP	22	571	3.9%	No
MTND2P21		2q14.1	AMP	8	571	1.4%	No
FCGR1BP		1p11.2	AMP	14	571	2.5%	No
NPM1P29		3q25.1	AMP	53	571	9.3%	No
OR7A10		19p13.12	AMP	71	571	12.4%	No
HOXD-AS2		2q31.1	AMP	21	571	3.7%	No
SERPINB5		18q21.33	AMP	3	571	0.5%	No
ZNHIT6		1p22.3	AMP	8	571	1.4%	No
KLK15		19q13.33	AMP	5	571	0.9%	No
IGKV2-23		2p11.2	AMP	55	571	9.6%	No
JRKL-AS1		11q21	AMP	7	571	1.2%	No
OR5K3		3q11.2	AMP	22	571	3.9%	No
RNU6-514P		1p36.12	AMP	4	571	0.7%	No
PLCH2		1p36.32	AMP	11	571	1.9%	No
TRBV11-1		7q34	AMP	26	571	4.6%	No
CDC14C		7p12.3	AMP	7	571	1.2%	No
NPM1P26		10q24.1	AMP	2	571	0.4%	No
SFTPC		8p21.3	HOMDEL	1	571	0.2%	No
RGS21		1q31.2	AMP	20	571	3.5%	No
PHYKPL		5q35.3	AMP	5	571	0.9%	No
SERPINB4		18q21.33	AMP	3	571	0.5%	Yes
ILDR2		1q24.1	AMP	15	571	2.6%	No
TEDDM1		1q25.3	AMP	15	571	2.6%	No
POMZP3		7q11.23	AMP	8	571	1.4%	No
APLF		2p13.3	AMP	9	571	1.6%	No
FIRRM		1q24.2	AMP	12	571	2.1%	No
EEF1A1P49		11q14.3	AMP	8	571	1.4%	No
RGS22		8q22.2	AMP	42	571	7.4%	No
PARPBP		12q23.2	AMP	1	571	0.2%	No
BTF3L4P4		4q32.3	HOMDEL	2	571	0.4%	No
KLK14		19q13.41	AMP	7	571	1.2%	No
MTND2P20		2q24.1	AMP	18	571	3.2%	No
OSBPL10		3p23	AMP	5	571	0.9%	No
HEYL		1p34.2	AMP	37	571	6.5%	No
SERPINB3		18q21.33	AMP	3	571	0.5%	Yes
COG5		7q22.3	AMP	9	571	1.6%	No
PLEK		2p14	AMP	9	571	1.6%	No
IGKV2OR2-2		2q11.2	AMP	19	571	3.3%	No
MTMR2		11q21	AMP	7	571	1.2%	No
LINC00430		13q31.1	AMP	10	571	1.8%	No
OSBPL9		1p32.3	AMP	8	571	1.4%	No
RNU6-360P		2q33.3	AMP	9	571	1.6%	No
FOXI3		2p11.2	AMP	21	571	3.7%	No
ATPSCKMT		5p15.2	AMP	34	571	6.0%	No
DIP2A-IT1		21q22.3	AMP	7	571	1.2%	No
NPTX2		7q22.1	AMP	11	571	1.9%	No
CDRT15P11		4q28.2	HOMDEL	1	571	0.2%	No
LNCDAT		6q27	AMP	3	571	0.5%	No
KLK9		19q13.41	AMP	7	571	1.2%	No
DMAC2		19q13.2	AMP	14	571	2.5%	No
RNA5SP252		8p23.1	HOMDEL	5	571	0.9%	No
FAM133B		7q21.2	AMP	14	571	2.5%	No
ATF6-DT		1q23.3	AMP	16	571	2.8%	No
KRTAP24-1		21q22.11	AMP	5	571	0.9%	No
IQCM		4q31.23	HOMDEL	1	571	0.2%	No
PYY		17q21.31	AMP	1	571	0.2%	No
HDHD2		18q21.1	AMP	6	571	1.1%	No
MTMR3		22q12.2	AMP	16	571	2.8%	No
CBX3P1		11p14.1	AMP	2	571	0.4%	No
LINC02377		4q28.3	HOMDEL	1	571	0.2%	No
SLIT2		4p15.31	HOMDEL	3	571	0.5%	Yes
FOXI2		10q26.2	AMP	7	571	1.2%	No
RNU6-670P		3p25.3	AMP	7	571	1.2%	No
OSBPL8		12q21.2	AMP	7	571	1.2%	No
TRAV13-1		14q11.2	AMP	20	571	3.5%	No
SLCO2A1		3q22.1-q22.2	AMP	23	571	4.0%	No
IGKV2OR2-1		2q11.2	AMP	19	571	3.3%	No
ILDR1		3q13.33	AMP	21	571	3.7%	No
DMAC1		9p24.1	AMP	9	571	1.6%	No
IGKV2D-38		2p11.2	AMP	31	571	5.4%	No
ME1		6q14.2	AMP	12	571	2.1%	No
RGS20		8q11.23	AMP	38	571	6.7%	No
